"","dateloc","winddir.x","windkno.x","timeloc","n_records","preshPa","winddir.y","windkno.y"
"1","01/10/2000",240,14.038882,"16:00",5,910,350,9.9
"2","01/10/2011",250,22.678194,"13:19",13,903,325,5.1
"3","01/10/2016",250,19.978409,"09:00",20,897,245,19
"4","01/11/2003",250,23.758108,"09:00",22,892,270,14
"5","02/10/2003",250,19.978409,"18:37",2,899,360,6
"6","02/10/2004",260,22.138237,"09:00",17,910,260,13.6
"7","02/10/2011",240,24.838022,"09:00",22,909,240,26
"8","02/11/2003",240,22.138237,"11:00",17,910,220,5.1
"9","02/11/2010",260,15.118796,"09:00",19,910,275,9.9
"10","03/10/2003",240,14.038882,"11:30",2,910,220,6
"11","03/10/2009",250,19.978409,"10:00",16,910,0,13
"12","03/10/2013",250,22.138237,"09:43",21,910,355,9.9
"13","03/10/2016",260,22.678194,"17:50",3,893,15,8.9
"14","03/12/2005",250,15.118796,"10:30",13,896,220,7.8
"15","04/10/2016",260,15.118796,"09:30",9,899,215,8
"16","04/12/2012",250,16.738667,"17:44",3,1004,20,9.9
"17","05/10/2016",240,15.118796,"09:30",4,899,240,12.1
"18","06/10/2008",250,18.898495,"16:59",5,910,360,15.9
"19","06/12/2002",270,22.678194,"10:00",22,893,270,11.1
"20","07/10/2001",280,18.898495,"12:00",14,896,5,8
"21","08/10/2001",250,16.738667,"09:30",14,903,255,11.1
"22","08/10/2004",260,28.077764,"14:43",4,910,355,9.7
"23","08/10/2007",290,15.118796,"18:37",3,909,5,7
"24","08/10/2008",240,11.879054,"09:00",3,901,285,11.1
"25","08/11/2006",320,18.898495,"16:00",2,909,55,8.9
"26","08/12/2001",260,16.19871,"12:00",4,901,210,6
"27","09/10/2005",240,17.818581,"09:00",20,906,240,18.5
"28","09/10/2011",260,15.118796,"14:30",7,925,335,4.1
"29","09/12/2016",260,14.038882,"09:30",5,905,240,11.1
"30","11/10/2012",250,21.058323,"12:00",5,910,360,15.9
"31","11/12/2001",270,11.339097,"15:30",4,910,210,6
"32","11/12/2002",270,28.077764,"09:00",25,899,270,24.1
"33","11/12/2014",270,17.818581,"15:09",4,899,5,9.9
"34","12/10/2012",240,26.99785,"09:00",37,900,265,25.1
"35","12/11/2001",280,21.058323,"10:00",19,910,265,9.9
"36","12/11/2004",310,15.118796,"09:00",9,898,300,14.6
"37","12/12/2011",260,14.038882,"15:00",6,896,250,8.9
"38","13/10/2007",240,16.19871,"09:30",2,910,225,14
"39","14/10/2001",250,22.138237,"14:23",11,894,310,8.9
"40","14/10/2009",290,23.758108,"09:30",26,898,290,12.1
"41","14/10/2013",250,22.678194,"09:00",12,896,250,20
"42","14/10/2014",250,17.818581,"09:30",19,910,350,9.9
"43","14/11/2013",290,21.058323,"12:14",4,910,355,12.1
"44","14/11/2016",240,22.138237,"09:00",19,899,265,18.1
"45","14/12/2008",260,21.058323,"09:00",24,910,280,15.9
"46","15/10/2014",270,16.19871,"09:00",13,904,250,15
"47","16/10/2009",290,21.058323,"09:00",25,910,240,14
"48","16/10/2010",270,29.157678,"09:00",34,910,255,29
"49","16/11/2006",250,29.157678,"09:00",21,900,245,26
"50","17/10/2016",250,29.697635,"17:18",2,898,10,11.1
"51","17/12/2005",280,29.697635,"15:17",3,905,270,3.9
"52","18/12/2005",240,17.818581,"09:00",7,910,225,16.5
"53","18/12/2010",240,19.978409,"15:23",2,909,330,5.1
"54","19/10/2001",290,26.99785,"10:30",18,899,10,6
"55","19/11/2001",270,16.738667,"14:30",8,1004,360,9.9
"56","19/11/2013",250,12.958968,"10:00",4,910,300,8
"57","20/12/2010",250,23.758108,"09:00",25,910,270,15
"58","21/10/2004",240,17.818581,"13:30",4,900,355,8.7
"59","21/11/2001",250,11.879054,"14:00",4,910,360,6
"60","21/11/2008",280,14.038882,"13:00",3,895,40,4.1
"61","22/11/2003",300,17.818581,"10:30",3,910,360,11.1
"62","22/11/2008",300,21.058323,"11:30",19,910,NA,NA
"63","23/10/2008",270,12.958968,"10:30",2,908,225,16.9
"64","23/10/2016",240,11.879054,"09:30",2,910,250,12.1
"65","23/11/2008",250,26.99785,"09:00",29,910,275,18.1
"66","27/10/2001",240,16.738667,"11:30",11,908,240,6
"67","28/12/2004",250,17.818581,"11:30",14,901,5,4.9
"68","29/10/2003",270,28.077764,"09:00",21,910,275,17.1
"69","29/10/2013",270,15.118796,"17:30",2,896,360,14
"70","29/11/2006",320,19.978409,"18:48",2,894,5,14
"71","29/11/2008",250,25.917936,"12:00",5,910,10,9.9
"72","29/11/2015",290,22.678194,"18:00",4,910,15,11.1
"73","30/10/2001",270,16.19871,"15:30",6,899,5,7
"74","31/10/2001",270,19.978409,"12:00",14,897,250,6
